dataset_id,dataset,method,reporting_protocol,availability,reason_code,short_reason,evidence_reference
D8,EMNIST-Balanced,CSPA,formal_seed_9002,NO_VALID_RESULT,FAILED_FINAL,"Final formal attempt failed infrastructure validation; closure permitted no retry","icaspp_3seed_completion_r1 / audit/09_FINAL_SLOT_STATUS.csv / CSPA / EMNIST-Balanced / seed9002"
D9,EMNIST-Letters,CSPA,formal_seed_9002,NO_VALID_RESULT,FAILED_FINAL,"Final formal attempt failed infrastructure validation; closure permitted no retry","icaspp_3seed_completion_r1 / audit/09_FINAL_SLOT_STATUS.csv / CSPA / EMNIST-Letters / seed9002"
D10,Walking,CSPA,formal_seed_9002,NO_VALID_RESULT,FAILED_FINAL,"Final formal attempt failed infrastructure validation; closure permitted no retry","icaspp_3seed_completion_r1 / audit/09_FINAL_SLOT_STATUS.csv / CSPA / Walking / seed9002"
D4,Communities,KCC,formal_seed_9002,NO_VALID_RESULT,INVALID_K_WAY,"Post-run label-count gate observed 2 labels for requested K=3; no relabeling","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / KCC Communities / label-count gate"
D8,EMNIST-Balanced,EAC,deterministic_single,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Dense N x N allocation exceeds recorded RAM; terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / EAC EMNIST-Balanced / terminal resource proof"
D9,EMNIST-Letters,EAC,deterministic_single,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Dense N x N allocation exceeds recorded RAM; terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / EAC EMNIST-Letters / terminal resource proof"
D10,Walking,EAC,deterministic_single,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Dense N x N allocation exceeds recorded RAM; terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / EAC Walking / terminal resource proof"
D8,EMNIST-Balanced,ECPCS-HC,deterministic_single,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Dense ECA plus condensed linkage exceeds recorded RAM; terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / ECPCS-HC EMNIST-Balanced / terminal resource proof"
D9,EMNIST-Letters,ECPCS-HC,deterministic_single,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Dense ECA plus condensed linkage exceeds recorded RAM; terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / ECPCS-HC EMNIST-Letters / terminal resource proof"
D10,Walking,ECPCS-HC,deterministic_single,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Dense ECA plus condensed linkage exceeds recorded RAM; terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / ECPCS-HC Walking / terminal resource proof"
D6,USPS,SDGCA,formal_seed_9002,NO_VALID_RESULT,FAILED_RECOVERABLE,"Infrastructure failure; closure retained a controlled retry budget but no retry was permitted","icaspp_3seed_completion_r1 / audit/09_FINAL_SLOT_STATUS.csv / SDGCA / USPS / seed9002"
D7,PAMAP2,SDGCA,formal_seed_9002,NO_VALID_RESULT,PROTOCOL_BLOCKED,"Protocol or cell-blocked evidence retained in final closure","icaspp_3seed_completion_r1 / audit/09_FINAL_SLOT_STATUS.csv / SDGCA / PAMAP2 / seed9002"
D8,EMNIST-Balanced,SDGCA,formal_seed_9002,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Exact dense N x N workspace has a terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / SDGCA EMNIST-Balanced / resource closure"
D9,EMNIST-Letters,SDGCA,formal_seed_9002,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Exact dense N x N workspace has a terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / SDGCA EMNIST-Letters / resource closure"
D10,Walking,SDGCA,formal_seed_9002,NO_VALID_RESULT,RESOURCE_INFEASIBLE,"Exact dense N x N workspace has a terminal resource proof","current_10ds_dash_audit_r1 / 01_EVERY_DASH_EXPLAINED.csv / SDGCA Walking / resource closure"
